id,solvent,d_d,d_p,d_h
133,(-)-Lavandulol,16.4,3,7.7
134,(-)-Sparteine,17.8,1.3,3.4
135,(-)-α-Cubebene,16.9,0.6,1.1
136,(-)-α-Muurolene,16.9,0.6,2.3
137,(-)-α-Pinene,16.4,1.3,2.2
138,(-)-β-Elemene,16.4,0.8,0.6
139,(+)-10-Camphorsulfonic Acid,18.8,13.7,14.4
140,(+)-Camphene,16.3,1.2,1.9
141,(+)-Cuparene,17.6,1.6,1.1
142,(+)-Nerolidol,16.9,1.9,5
143,(+)-α-Pinene,16.4,1.3,2.2
144,(+)-α-Santalyl Acetate,17.3,1.9,2.5
145,(+)-α-Terpineol,17.1,3.6,7.6
146,(+)-β-Pinene,16.3,1.2,1.9
147,"(±)-(Z+E)-1,2-Dihydroperillaldehyde",16.8,5.4,4
148,"(±)-1,2,5,6-Tetrahydrocuminic Acid",17,4.3,9.3
149,"(±)-2,3-Dihydrofarnesol",16.5,3.2,6.2
150,"(±)-2,4,8-Trimethyl-7-Nonen-2-ol",16.4,2.4,5.5
151,(±)-2-Phenyl-4-Methyl-2-Hexenal,17.5,4.5,3.4
152,(±)-3-((2-Methyl-3-Furyl)Thio)-2-Butanone,18.7,7.6,4.5
153,(±)-3-(Methyl Thio) Heptanal,17,6.3,4.7
154,(±)-3-Mercapto-1-Butyl Acetate,16.9,5.7,7.1
155,(±)-3-Methyl-γ-Decalactone,16.3,5.9,3.8
156,(±)-4-Ethyl Octanal,15.8,5,3.7
157,(±)-Dihydromint Lactone,16.9,6.8,3.9
158,(±)-Ethyl 3-Acetoxy-2-Methyl Butyrate,16.2,5.2,6.5
159,(±)-Ethyl 3-Hydroxy-2-Methyl Butyrate,16.4,6.4,12
160,(±)-Lilac Aldehyde,16.7,6.4,4.4
161,(±)-Nerolidyl Acetate,16.6,1.2,2.8
162,(±)-α-Melonol,16,4,8.2
163,"(1,1,2,2-Tetrafluoro-2-Chloroethyl)(Difluoromethyl) Ether",13.9,4.2,2.9
164,"(1A,2A,3A,4B,5A,6B)-1,2,3,4,5,6-Hexachlorocyclohexane",19.7,22.2,2.3
165,"(1A,2A,3B,4A,5B,6B)1,2,3,4,5,6-Hexachlorocyclohexane",19.7,22.2,2.3
166,"(1A,2B,3A,4B,5A,6B)-1,2,3,4,5,6-Hexachlorocyclohexane",19.7,22.2,2.3
167,(1R)-(-)-Nopyl Acetate,16.8,2.7,4
168,(1S)-(+)-10-Camphorsulfonic Acid,18.8,13.7,14.4
169,(1-Thiapropyl)-Benzene,19.2,4.3,3.3
170,(2-Bromoethyl)Cyclohexane,17.5,3,3.2
171,"(2E)-3,7-Dimethylocta-2,6-Dienal",16.8,5.3,4.3
172,(2-Methyl-1-Propenyl)Benzene,17.8,2.1,3
173,"(3Alpha,5Alpha)-Androst-16-En-3-ol",18,3,5.5
174,(3R)-1-Octen-3-ol,16.1,4.2,9
175,(4-Chloro-2-Methylphenoxy)Aceticacid,19.1,7.4,10.9
176,(CF3)2CFCOCH3,13.5,5.1,2.6
177,(Cf3)2Chcocf2cf3,12.8,4.1,1.4
178,(Dimethylamino)Dimethylborane,14.8,1,3.1
179,"(E)-1,2-Diiodoethylene",20.4,5.8,4.9
180,"(E)-1,5-Octadien-3-ol",16.5,4.3,9.6
181,(E)-12-Musk Decenone,17.2,4.8,4
182,"(E)-2,4-Dimethyl-2-Pentenoic Acid ",16.2,4.7,9.9
183,"(E)-2,6-Dimethyl-1,5,7-Octatrien-3-ol",16.6,3.4,8
184,(E)-2-Decen-1-ol,16.4,4.4,9.7
185,(E)-2-Decen-1-Yl Acetate,16.4,3.2,4.5
186,(E)-2-Decenoic Acid,16.5,4.5,8.8
187,(E)-2-Dodecen-1-Al,16.4,4.9,3.9
188,(E)-2-Dodecen-1-Yl Acetate,16.4,2.5,4.1
189,(E)-2-Hepten-1-Al,16.3,6.5,5.1
190,(E)-2-Hepten-1-ol,16.5,5.1,12
191,(E)-2-Hepten-1-Yl Acetate,16.4,3.6,5.2
192,(E)-2-Hepten-1-Yl Isovalerate,16.1,2.7,3.9
193,(E)-2-Heptenoic Acid,16.5,5.1,10.7
194,(E)-2-Hexen-1-Al Diethyl Acetal,15.8,3.5,3.3
195,(E)-2-Hexen-1-Al Dimethyl Acetal,15.9,4.2,4.1
196,(E)-2-Hexen-1-Al Propylene Glycol Acetal,16.6,3.9,4.1
197,(E)-2-Hexen-1-ol,16.5,5.4,11.1
198,(E)-2-Hexen-1-Yl 2-Methyl Butyrate,16.1,2.5,3.7
199,(E)-2-Hexen-1-Yl Butyrate,16.2,3.2,4.4
200,(E)-2-Hexen-1-Yl Formate,16.3,5.1,6.1
