id,solvent,d_d,d_p,d_h
1938,"2,2,4-Trimethyl-3-Pentanol",15,3.1,10.7
1939,"2,2,4-Trimethyl-3-Pentanone",15,4.4,2.2
1940,"2,2,4-Trimethylheptane",14.8,0,0
1941,"2,2,4-Trimethylhexane",14.6,0,0
1942,"2,2,4-Trimethyloctane",15,0,0
1943,"2,2,4-Trimethylpiperidine",16.3,3.2,3.8
1944,"2,2',5,5'-Tetrabromobiphenyl",21.6,7.3,4.6
1945,"2,2',5,5'-Tetrachloro-1,1'-Biphenyl",21.1,4.9,3
1946,"2,2,5,5-Tetrafluorooxolane",15.1,4.7,4.2
1947,"2,2,5,5-Tetramethyl-3-Hexanol",14.9,2.4,11.3
1948,"2,2,5,5-Tetramethylheptane",14.6,0,0
1949,"2,2,5,5-Tetramethylhexane",14.3,0,0
1950,"2,2',5,5'-Tetrathiafulvalen",21,8.2,8.4
1951,"2,2,5,7-Tetramethyltetraline",17.8,0.7,1.5
1952,"2,2',5-Trichloro-1,1'-Biphenyl",20.7,4.1,2.8
1953,"2,2,5-Trimethylheptane",14.8,0,0
1954,"2,2,5-Trimethylhexane",14.5,0,0
1955,"2,2',6,6'-Tetrachloro-1,1'-Biphenyl",21.1,5,3
1956,"2,2,6,6-Tetrachlorocyclohexanone",19.5,14,6.3
1957,"2,2,6,6-Tetramethylheptane",14.5,0,0
1958,"2,2,6,6-Tetramethylpiperidin-4-ol",16.4,4.8,8.9
1959,"2,2,6,6-Tetramethylpiperidine",15.7,2.4,2.5
1960,"2,2',6-Trichlorobiphenyl",20.7,4.1,2.8
1961,"2,2,6-Trimethylheptane",14.7,0,0
1962,"2,2,6-Trimethyloctane",14.9,0,0
1963,"2,2'4,4'-Tetrachlorodiphenyl Ether",21.2,6.1,4.1
1964,"2,2'-Azobis(2-Methylpropanenitrile)",13.4,13.5,4
1965,"2,2'-Bipyidine",20.3,7.9,5.6
1966,"2,2'-Biquinoline",21.2,5.6,4.2
1967,"2,2-Bis(Trifluoromethyl)-1,3-Dioxolane",14.7,5.9,4
1968,"2,2-Bis(Trifluoromethyl)Oxetane",14.4,4.7,2.9
1969,"2,2-Bis(Trifluoromethyl)Propanol",14.2,4,8.4
1970,"2,2-Dichloro-3-Methylbutane",15.9,3.5,2.4
1971,"2,2'-Dichlorobiphenyl",20.4,3.3,2.6
1972,"2,2-Dichlorobutane",16.1,4.3,3.3
1973,"2,2'-Dichlorohydrazobenzene",21.3,5.9,7.9
1974,"2,2-Dichloropentane",16.2,3.7,2.8
1975,"2,2-Dichloropropane",16.1,4.7,3.6
1976,"2,2-Diethoxypropane ",14.9,4.2,3.1
1977,"2,2-Diethyl-1,3-Propanediol",16.3,6.5,15
1978,"2,2-Difluoro-3-Methylbutane",14.2,2.2,2.2
1979,"2,2-Difluoro-4,4-Bis(Trifluoromethyl)Oxetane",13.8,4.4,2
1980,"2,2-Difluorobutane",14.4,2.9,3.1
1981,"2,2-Difluoro-Ethanol",16.2,9,16
1982,"2,2-Difluoroethyl  1,1,2,2-Tetrafluoroethyl  Ether",14.6,5.6,4.6
1983,"2,2-Difluoroethyl  Difluoromethyl  Ether",15,6.5,4.6
1984,"2,2-Difluoroethyl  Methyl  Ether",15.2,5.9,5
1985,"2,2-Difluoroethyl Acetate",15.7,6.2,6.8
1986,"2,2-Difluoropentane",14.5,2.3,2.6
1987,"2,2-Difluoropropane",14.2,3.2,3.4
1988,"2,2'-Dihydroxybiphenyl",20.3,5.7,12.7
1989,"2,2-Dimethoxypropane",14.9,5,4.1
1990,"2,2-Dimethyl-1,3-Butanediol",16.3,6.9,16.6
1991,"2,2-Dimethyl-1,3-Pentanediol",16.1,6.5,15
1992,"2,2-Dimethyl-1,3-Propanediol",16.4,8.3,18
1993,"2,2-Dimethyl-1,4-Butanediol",16.3,7.6,16.7
1994,"2,2-Dimethyl-1,5-Pentanediol",16.2,7.3,15.1
1995,"2,2-Dimethyl-1-Butanol",15.4,4.7,9.8
1996,"2,2-Dimethyl-1-Heptanol",15.6,3.8,8.9
1997,"2,2-Dimethyl-1-Hexanol",15.5,4,9.7
1998,"2,2-Dimethyl-1-Octanol",15.7,3.6,8.5
1999,"2,2-Dimethyl-1-Pentanol",15.4,4.1,8.6
2000,"2,2-Dimethyl-1-Propanethiol",15.5,3.7,3.9
2001,"2,2-Dimethyl-1-Propanol (Neopentyl Alc.)",15.6,6.5,13.5
2002,"2,2-Dimethyl-3-Ethylpentane",14.5,0,0
2003,"2,2-Dimethyl-3-Heptanol",15.4,3.2,10.3
2004,"2,2-Dimethyl-3-Hexanol",15.2,3.2,10.9
2005,"2,2-Dimethyl-3-Hydroxypropyl 2,2-Dimethyl-3-Hydroxypropionate",16.1,7,12.3
2006,"2,2-Dimethyl-3-Octanol",15.5,3,9.4
2007,"2,2-Dimethyl-3-Pentanol",15.1,3.7,12
2008,"2,2-Dimethyl-3-Pentanone",15.1,5.2,3
2009,"2,2-Dimethyl-3-Thiapentane",15.7,2.6,2.3
2010,"2,2'-Dimethyl-4,4'-Methylenebis(Cyclohexylamine)",17.2,2.5,4.8
2011,"2,2'-Dimethylbiphenyl",19.2,1.8,2.3
2012,"2,2-Dimethylbutanal",15.2,6.3,3.8
2013,"2,2-Dimethylbutane",14.1,0,0
2014,"2,2-Dimethylbutanenitrile",15.1,8.6,3.5
2015,"2,2-Dimethyl-Cis-3-Hexene",14.9,1.4,1.8
2016,"2,2-Dimethyldecane",15.2,0,0
2017,"2,2-Dimethylheptane",14.8,0,0
2018,"2,2-Dimethylhexane",14.6,0,0
2019,"2,2-Dimethyloctane",14.9,0,0
2020,"2,2-Dimethylpentane",14.3,0,0
2021,"2,2-Dimethylpropanal",14.8,6.8,4.4
2022,"2,2-Dimethylpropanamide",15.8,10.6,9.5
2023,"2,2-Dimethylpropanenitrile",14.7,9.5,4
2024,"2,2-Dimethylpropanoic Acid",15,5.2,11.1
2025,"2,2-Dimethylpropyl Formate",15.1,4.8,5.3
2026,"2,2-Dimethylpropyl Propanoate",15.2,3.4,4.3
2027,"2,2-Dimethylpropylamine",15,3.6,6.4
2028,"2,2-Dimethyltetrahydrofuran",15.8,3.8,3.5
2029,"2,2-Dimethylthiacyclopropane",17.2,4.8,3.7
2030,"2,2-Dimethyl-Trans-3-Hexene",14.9,1.4,1.8
2031,"2,2-Dimethylundecane",15.3,0,0
2032,"2,2-Dimethylvaleric Acid",15.4,4.2,11.1
2033,"2,2-Dinitropropane",16.6,18.9,4.5
2034,"2,2-Diphenylpropane",18.2,1.2,1.8
2035,"2,2'-Ethylenedioxydiethyl Bis(2-Ethylbutyrate)",15.8,4,5.2
2036,"2,2'-Iminobis-Acetonitrile",17.5,19.5,10.5
2037,"2,2'-Methanediylbis(6-Tert-Butyl-4-Ethylphenol)",17.5,1.3,4.5
2038,"2,2'-Methanediylbis[4-Methyl-6-(1-Methylcyclohexyl)Phenol]",18.9,1.4,4.3
2039,"2,2'-Thiene-2,5-Diylbis(5-Tert-Butyl-1,3-Benzoxazole)",18.9,4.1,0.8
2040,"2,3 Dimethyl Pyrazine",18.1,8,6
2041,"2,3,3,3,2',3',3',3'-Octachlorodipropylether",19,3.2,1.3
2042,"2,3,3,3-Tetrafluoro-2-Trifluoromethyl-Propan-1-ol",13.7,5,9.6
2043,"2,3,3,3-Tetrafluoropropionic Acid Methyl Ester",14.7,5.2,5.6
2044,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",22,2.7,1.8
2045,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",22.3,4.1,1.9
2046,"2,3,3',4,4',5-Hexachlorobiphenyl",22.1,4.8,2.2
2047,"2,3,3',4,4',6-Hexachlorobiphenyl",22.1,4.8,2.2
2048,"2,3,3',4,4'-Pentachlorobiphenyl",21.3,4.3,2.6
2049,"2,3,3,4,4-Pentafluorooxolane",15.3,5.1,4.4
2050,"2,3,3',4',5,6-Hexachlorobiphenyl",22.1,4.8,2.2
2051,"2,3,3',4',6-Pentachlorobiphenyl",21.3,4.3,2.6
2052,"2,3,3',4'-Tetrachlorobiphenyl",21.1,4.9,3
2053,"2,3,3,4-Tetramethylhexane",14.7,0,0
2054,"2,3,3,4-Tetramethylpentane",14.5,0,0
2055,"2,3,3,5-Tetramethylhexane",14.6,0,0
2056,"2,3,3',6-Tetrachlorobiphenyl",21,3.5,2.2
2057,"2,3,3-Tribromobutane",18.7,3.9,4.3
2058,"2,3,3-Trichlorobutane",17,4.9,2.9
2059,"2,3,3-Trifluorobutane",14.4,2.5,3
2060,"2,3,3-Trimethyl-1-Butanol",15.1,3.8,9
2061,"2,3,3-Trimethyl-1-Butene",14.4,1.4,1.4
2062,"2,3,3-Trimethyl-1-Pentene",14.8,1.3,1.1
2063,"2,3,3-Trimethyl-2-Butanol",15,3.4,10.3
2064,"2,3,3-Trimethyl-2-Pentanol",15.3,3.2,6.2
2065,"2,3,3-Trimethylheptane",14.9,0,0
2066,"2,3,3-Trimethylhexane",14.7,0,0
2067,"2,3,3-Trimethylpentane",14.5,0,0
2068,"2,3',4,4',5,5'-Hexachlorobiphenyl",21.5,3.6,2.3
2069,"2,3,4,4',5-Pentachlorobiphenyl",21.8,4.5,2.4
2070,"2,3',4,4',5-Pentachlorobiphenyl",21.3,4.3,2.6
2071,"2,3,4,4',6-Pentachlorobiphenyl",21.8,4.5,2.4
2072,"2,3',4,4'-Tetrabromodiphenyl Ether (Bde 66)",21.7,8.1,5.5
2073,"2,3',4,4'-Tetrachlorobiphenyl",21.1,4.9,3
2074,"2,3,4,4'-Tetrahydroxybenzophenon",20.9,10,15.8
2075,"2,3,4,4-Tetramethylhexane",14.7,0,0
2076,"2,3,4,5,2',3',4',5'-Octahydro-Bifuryl-(3,3')",17.7,5.6,5.7
2077,"2,3,4,5,6,7,7-Heptachloro-1A,1B,5,5A,6,6A,-Hexahydro-(2A Alp",19.5,7.7,1.5
2078,"2,3,4,5,6-Pentachlorotoluene",20,2.3,2.4
2079,"2,3,4,5,6-Pentafluorotoluene",16.3,3.2,3
2080,"2,3',4',5-Tetrachloro-1,1'-Biphenyl",21.1,4.9,3
2081,"2,3,4',5-Tetrachlorobiphenyl",21,3.9,2.8
2082,"2,3,4,5-Tetramethylhexane",14.9,0,0
2083,"2,3,4,5-Tetramethylphenol",18.5,3,7.5
2084,"2,3,4,6,7,8-Hexachlorodibenzofuran",22.7,4.9,2.1
2085,"2,3,4,6,7-Pentachlorodibenzofuran",21.9,4.4,2.5
2086,"2,3,4',6-Tetrachlorobiphenyl",21,4,2.9
2087,"2,3,4,6-Tetramethylheptane",15,0,0
2088,"2,3,4,6-Tetramethylphenol",18.5,3,7.5
2089,"2,3,4,7,8-Pentachlorodibenzofuran",21.9,4.4,2.5
2090,"2,3,4'-Trichloro-1,1'-Biphenyl",20.8,4.7,3.2
2091,"2,3,4-Trifluoro Nitrobenzene",19.5,7.7,3.5
2092,"2,3,4-Trimethyl-1-Pentanol",15.6,3.5,8.3
2093,"2,3,4-Trimethyl-1-Pentene",15,1.3,1.3
2094,"2,3,4-Trimethyl-2-Hexanol",15.7,2.5,5.7
2095,"2,3,4-Trimethyl-2-Pentanol",15.5,3,6.4
2096,"2,3,4-Trimethyl-2-Pentene",15.5,1.5,1.7
2097,"2,3,4-Trimethyl-3-Pentanol",15.6,2.4,6.1
2098,"2,3,4-Trimethylheptane",15.1,0,0
2099,"2,3,4-Trimethylhexane",14.9,0,0
2100,"2,3,4-Trimethylpentane",14.7,0,0
2101,"2,3,4-Trimethylphenol",18.2,3.3,8.5
2102,"2,3,4-Trimethylthiophene",17.6,2.2,4.6
2103,"2,3,5,6-Tetramethyl Pyrazine",17.4,6.3,4.1
2104,"2,3,5,6-Tetramethylphenol",18.5,3,7.5
2105,"2,3,5-Trimethyl Pyrazine",17.7,7,5
2106,"2,3,5-Trimethyl-3-Hexanol",15.6,2.1,5.7
2107,"2,3,5-Trimethylheptane",15.1,0,0
2108,"2,3,5-Trimethylhexane",14.8,0,0
2109,"2,3,5-Trimethyloctane",15.3,0,0
2110,"2,3,5-Trimethylphenol",18.2,3.2,8.5
2111,"2,3,5-Trimethylthiophene",17.6,2.2,4.6
2112,"2,3,5-Trithiahexane",18.5,6.8,5.2
2113,"2,3,6,7-Tetrachlorodibenzofuran",21.1,3.9,2.9
2114,"2,3,6,7-Tetramethylanthracene",19,1.4,3.1
2115,"2,3,6-Trichlorobenzoic Acid",20.4,5.9,8
2116,"2,3,6-Trichlorophenylacetic",19.7,6.2,9.6
2117,"2,3,6-Trimethylheptane",15,0,0
2118,"2,3,6-Trimethylnaphthalene",19.5,4.2,4.4
2119,"2,3,6-Trimethyloctane",15.2,0,0
2120,"2,3,6-Trimethylphenol",18.2,3.3,8.5
2121,"2,3,7,8-Tetrachlorodibenzofuran",21.1,3.8,2.9
2122,"2,3,7-Trimethyloctane",15.1,0,0
2123,"2,3-Benzofuran (Cumaron)",18.7,5.1,5.7
2124,"2,3-Butadiene-1-ol",16.2,6.6,16.8
2125,"2,3-Butane Dithiol",17.3,5.5,6
2126,"2,3-Butanediol",17,7.8,18.3
2127,"2,3-Butylene Carbonate",18,16.8,3.1
2128,"2,3-Dibromo-1,1,1-trifluoropropane(HCFC-243daB2)",17,5,4.5
2129,"2,3-Dibromo-2-Methylbutane",17.2,3.4,3.3
2130,"2,3-Dibromobutane",17.7,4.4,5.4
2131,"2,3-Dibromoheptane",17.4,3.2,4.3
2132,"2,3-Dibromopentane",17.5,3.9,4.9
2133,"2,3-Dibromoprene",17.7,11.8,6.4
2134,"2,3-Dichloro-1,1'-Biphenyl",20.2,3.7,3.2
2135,"2,3-Dichloro-1,3-Butadiene",17.1,2.3,2.8
2136,"2,3-Dichloro-2-Methylbutane",16.5,4,1.6
2137,"2,3-Dichloroaniline",20.1,6.5,8.6
2138,"2,3-Dichlorodibenzo-p-Dioxin",20.8,4.3,5
2139,"2,3-Dichlorohexafluorobutene-2(F-1316Mxx)",14.8,3.8,0.9
2140,"2,3-Dichloronitrobenzene",19.7,12.6,4.4
2141,"2,3-Dichlorooctafluorobutane (F-318Mbb)",13.9,3.5,1.1
2142,"2,3-Dichloropentane",16.5,4.3,2.1
2143,"2,3-Dichlorophenol",19.8,6.9,10.4
2144,"2,3-Dichloropropanol",17.5,9.2,14.6
2145,"2,3-Dichloropropene",16.2,7.8,3
2146,"2,3-Dichlorotoluene",18.9,4.5,3.5
2147,"2,3-Dicyano-1,4-Dithia-Anthraquinone(Dithianon)",19.8,20.8,10.4
2148,"2,3-Diethylphenol",17.9,4.4,8
2149,"2,3-Difluorobutane",14.6,2.4,3.1
2150,"2,3-Difluoropentane",14.7,2.2,2.7
2151,"2,3-Dihydro-6-Propyl-2-Thioxo-4(1H)-Pyrimidinone (Propylthiouracil)",19.7,18.3,14
2152,"2,3-Dihydrofarnesene",16.7,1.1,2.1
2153,"2,3-Dihydrofuran",17.3,6.1,6.9
2154,"2,3-Dihydroxybenzoic Acid",20.1,8.6,17.9
2155,"2,3-Dimethoxylbenzaldehyde",19.1,10.2,7.4
2156,"2,3-Dimethoxytoluene",18.4,6.2,5.8
2157,"2,3-Dimethyl Benzofuran",18.2,3.6,3.4
2158,"2,3-Dimethyl-1,2-Butanediol",16.4,4.9,13.8
2159,"2,3-Dimethyl-1,3-Butadiene",15.1,2.2,2.3
2160,"2,3-Dimethyl-1,3-Butanediol",16.6,6.8,15.4
2161,"2,3-Dimethyl-1,3-Pentanediol",16.7,5.5,14.2
2162,"2,3-Dimethyl-1-Butanol",15.6,4.5,10.1
2163,"2,3-Dimethyl-1-Butene",14.7,2,1.9
2164,"2,3-Dimethyl-1-Hexanol",15.8,3.7,8.5
2165,"2,3-Dimethyl-1-Hexene",15.2,1.5,1.7
2166,"2,3-Dimethyl-1-Pentanol",15.7,3.7,8.9
2167,"2,3-Dimethyl-1-Pentene",15,1.3,1.5
2168,"2,3-Dimethyl-2,3-Butanediol",16.3,5.2,10.5
2169,"2,3-Dimethyl-2,3-Diphenylbutane",17.5,0.4,0.7
2170,"2,3-Dimethyl-2-Butanol",15.5,4,7.8
2171,"2,3-Dimethyl-2-Butene",15.6,2.3,2.8
2172,"2,3-Dimethyl-2-Heptanol",15.8,3.1,6.3
2173,"2,3-Dimethyl-2-Hexanol",15.8,3.2,6.6
2174,"2,3-Dimethyl-2-Hexene",15.7,1.7,2.1
2175,"2,3-Dimethyl-2-Pentanol",15.6,3.3,6.9
2176,"2,3-Dimethyl-2-Pentene",15.6,2.2,2.5
2177,"2',3-Dimethyl-3',4-Dioxa-2,8-Dithiabicyclo(3.3.0)Octane Spirocyclopentane",18.7,6.8,5.1
2178,"2,3-Dimethyl-3-Ethylpentane",14.8,0,0
2179,"2,3-Dimethyl-3-Heptanol",15.9,2.5,6
2180,"2,3-Dimethyl-3-Hexanol",15.8,2.5,6.4
2181,"2,3-Dimethyl-3-Octanol",16,2.2,5.7
2182,"2,3-Dimethyl-3-Pentanol",15.7,3,7.2
2183,"2,3-Dimethylaniline",18.8,4.7,7.9
2184,"2,3-Dimethylbutanal",15.4,6.2,4.1
2185,"2,3-Dimethylbutane",14.4,0,0
2186,"2,3-Dimethyldecane",15.4,0,0
2187,"2,3-Dimethylfuran",16.7,4.5,4.5
2188,"2,3-Dimethylheptadecane",15.8,0,0
2189,"2,3-Dimethylheptane",15.1,0,0
2190,"2,3-Dimethylhexane",14.9,0,0
2191,"2,3-Dimethylnaphthalene",19,1,4
2192,"2,3-Dimethylnonane",15.4,0,0
2193,"2,3-Dimethyloctane",15.3,0,0
2194,"2,3-Dimethylpentane",14.7,0,0
2195,"2,3-Dimethylpyridine",17.9,5.5,5
2196,"2,3-Dimethylquinoline",18.9,4.2,4.6
2197,"2,3-Dimethylquinoxaline",19,6.3,5
2198,"2,3-Dimethylstyrene",17.7,2.5,2.9
2199,"2,3-Dimethyltetrahydrofuran",16.2,3.8,4.1
2200,"2,3-Dimethylthiophene",17.9,2.8,5.3
2201,"2,3-Dimethyl-Trans-3-Hexene",15.4,1.7,1.9
2202,"2,3-Dimethylundecane",15.5,0,0
2203,"2,3-Dinitrotoluene",19.6,10,5.3
2204,"2,3-Epoxydecanal",16.1,7.4,5.3
2205,"2,3-Epoxyheptanal",16.3,8.6,6.3
2206,"2,3-Heptane Dione",16.7,9.2,5.2
2207,"2,3-Heptanediol",16.5,5.7,13.3
2208,"2,3-Hexadiene",16,2.7,3.4
2209,"2,3-Hexanediol",16.5,6,14.5
2210,"2,3-Naphthalenediol",20.3,4.1,13.4
2211,"2,3-Octane Dione",16.7,8.4,5.1
2212,"2,3-Pentadiene",16.1,3.1,3.9
2213,"2,3-Pentanediol",16.7,6.8,16.4
2214,"2,3-Pyrazinedicarbonitrile",20.2,20,5.5
2215,"2,3-Quinoxalinediol",20.4,10.1,14.8
2216,"2,3-Xylenol",18.5,5,9.7
2217,"2,4(1H,3H)-Pyrimidinedione, 5-Bromo-6-Methyl-3-(1-Methylprop",19.3,8.2,7.9
2218,"2,4,4',5-Tetrachlorobiphenyl",21,3.9,2.8
2219,"2,4,4',5-Tetrachlorodiphenyl Ether",21.1,5.1,3.9
2220,"2,4,4'-Tribromodiphenyl Ether (Bde 28)",21.3,7.4,5.5
2221,"2,4,4'-Trichlorodiphenyl Ether",20.9,5.8,4.3
2222,"2,4,4-Trimethyl-1-Pentanol",15.3,3.4,8.1
2223,"2,4,4-Trimethyl-1-Pentene",14.6,1.1,1.4
2224,"2,4,4-Trimethyl-2-Pentanol",15.2,3.1,9.6
2225,"2,4,4-Trimethyl-2-Pentene",15,1.2,1.6
2226,"2,4,4-Trimethyl-3-Hexanol",15.3,2.9,7.1
2227,"2,4,4-Trimethylheptane",14.8,0,0
2228,"2,4,4-Trimethylhexane",14.6,0,0
2229,"2,4',5-Trichloro-1,1'-Biphenyl",20.8,4.6,3.2
2230,"2,4,5-Trichloroaniline",20.4,5.5,7.8
2231,"2,4,5-Trichlorophenoxyaceticacid",19.9,7.5,10.5
2232,"2,4,5-Trichlorothiophenol",21,4.5,9.1
2233,"2,4,5-Trimethyl Oxazole",16.6,6.1,4.8
2234,"2,4,5-Trimethyl Thiazole",17.7,4.5,5.6
2235,"2,4,5-Trimethylaniline",18.5,2.9,6.9
2236,"2,4,5-Trimethylheptane",15,0,0
2237,"2,4,5-Trimethylphenol",18.2,3.2,8.5
2238,"2,4,6 Trimethyl-3-Heptene",15.5,1.1,1.6
2239,"2,4,6-Cycloheptatien-1-One, 2-Hydoxy-",19.7,10.7,15.1
2240,"2,4,6-Cycloheptatrien-1-One, 2-Hydroxy-4-(1-Methylethyl)-  Hinokitiol",18.6,7.9,11.5
2241,"2,4,6-Nonatrien-1-Al",17.2,5.9,5.3
2242,"2,4,6-Tribromo Phenol",20.6,10.2,14.1
2243,"2,4,6-Tribromobiphenyl",20.7,4.9,4
2244,"2,4,6-Tribromophenyl(2-Methyl-2,3-Dibromopropyl)",20.6,5.7,4.7
2245,"2,4,6-Trichloroaniline",20.4,5.5,7.8
2246,"2,4,6-Trichloroanisol",21,3.9,7
2247,"2,4',6-Trichlorobiphenyl",20.8,4.7,3.2
2248,"2,4,6-Trichlorophenylhydrazine",20.9,6.9,9.4
2249,"2,4,6-Trihydroxybenzoic Acid",20.4,9.9,25.1
2250,"2,4,6-Triiodophenol",22.7,6.2,11.2
2251,"2,4,6-Trimethylaniline",18.5,2.9,6.9
2252,"2,4,6-Trimethylbenzaldehyde",18.3,5.1,4
2253,"2,4,6-Trimethylheptane",14.9,0,0
2254,"2,4,6-Trimethyloctane",15.1,0,0
2255,"2,4,6-Trimethylphenol",18.2,3.2,8.5
2256,"2,4,6-Trimethylpyridine",17.5,4.7,4.1
2257,"2,4,6-Trithiaheptane 10% In Triacetin",19.5,5.1,5.3
2258,"2,4,7-Decatrien-1-Al",17.2,5.6,5.1
2259,"2,4,7-Trimethyloctane",15.1,0,0
2260,"2,4-Bis(Ethylamino)-6-Methylthio-1,3,5-Triazine",20.3,12.4,8.2
2261,"2,4-Db",18.1,5.3,5.2
2262,"2,4-Decadien-1-ol",16.9,4.3,10
2263,"2,4-Diamino-6-Phenyl-S-Triazine",20.7,11.8,12.1
2264,"2,4-Diaminobutanoic Acid ",17.7,8.5,17.5
2265,"2,4-Diaminophenol",20.7,9.5,20.3
2266,"2,4-Dibromoaniline",20.6,7.9,9.4
2267,"2,4-Dibromophenol",20.3,8.3,11.2
2268,"2,4-Dichloro-1-(3-Methoxy-4-Nitrophenoxy)Benzene",20.8,7,5.7
2269,"2,4-Dichloro-1-Naphthol",21.5,8,10.6
2270,"2,4-Dichloro-1-Naphthol ",21.5,8,10.6
2271,"2,4-Dichloro-3-Fluoronitrobenzene",19.9,7.2,4.2
2272,"2,4-Dichloro-5-Nitrobenzotrifluoride",19.9,7.6,3.7
2273,"2,4-Dichloroaniline",20.9,6.2,10
2274,"2,4-Dichlorobenzaldehyde",19.7,8.8,5.4
2275,"2,4-Dichlorobenzoic Acid",20.2,6.8,8.6
2276,"2,4-Dichlorobenzotrifluoride",17.8,4.4,2.7
2277,"2,4-Dichlorobenzylamine",19.5,5.9,7
2278,"2,4'-Dichlorobiphenyl/Pcb",20.4,3.8,3.1
2279,"2,4-Dichloronitrobenzene",20.4,8.7,4.2
2280,"2,4-Dichloropentane",16.7,4,2.4
2281,"2,4-Dichlorophenol",20,7.2,13.1
2282,"2,4-Dichlorotoluene",18.9,4.4,3.4
2283,"2,4-Diethyl-1,5-Pentanediol",16.3,6.2,12.5
2284,"2,4-Diethylphenol",17.9,4.4,8
2285,"2,4-Difluoronitrobenzene",19.4,11,3.7
2286,"2,4-Difluoropentane",14.8,1.8,3.1
2287,"2,4-Difluorostyrene",17.4,4.6,3.6
2288,"2,4-Difurfuryl Furan",18.6,5.7,5.5
2289,"2,4-Dihydroxy-3-Methyl Benzaldehyde",19.8,9.9,16.9
2290,"2,4-Dihydroxybenzaldehyde",20.2,12.2,18.7
2291,"2,4-Dihydroxybenzoic Acid",20.3,9.7,20.8
2292,"2,4-Dihydroxybenzophenone",20.5,9.2,12.8
2293,"2,4-Dimethoxylbenzaldehyde",19.1,10.1,7.4
2294,"2',4'-Dimethyl Acetophenone",18.4,6.1,3.5
2295,"2,4-Dimethyl Anisole",18.1,4.6,4.4
2296,"2,4-Dimethyl Cyclohexyl Methyl Acetate",16.7,2.7,4.1
2297,"2,4-Dimethyl Thiazole",18.1,5.2,6.5
2298,"2,4-Dimethyl-1-Hexanol",15.8,3.3,8.1
2299,"2,4-Dimethyl-1-Hexene",15.2,1.1,1.6
2300,"2,4-Dimethyl-1-Pentanol",15.6,4,9.2
2301,"2,4-Dimethyl-1-Pentene",14.9,1.7,1.9
2302,"2,4-Dimethyl-2,3-Pentanediol",16.1,4.8,11.1
2303,"2,4-Dimethyl-2,4-Pentanediol",16.5,5.9,12.1
2304,"2,4-Dimethyl-2-Heptanol",15.9,2.9,6.2
2305,"2,4-Dimethyl-2-Hexanol",15.7,3.1,6.4
2306,"2,4-Dimethyl-2-Hexene",15.5,1.2,1.8
2307,"2,4-Dimethyl-2-Octanol",15.9,2.8,5.9
2308,"2,4-Dimethyl-2-Pentanol",15.5,3.6,7.2
2309,"2,4-Dimethyl-2-Pentene",15.4,1.8,2.1
2310,"2,4-Dimethyl-2-Pentenoic Acid",16.2,4.7,9.9
2311,"2,4-Dimethyl-3-Cyclohexene-1-Methanol",17,3.9,9.8
2312,"2,4-Dimethyl-3-Cyclohexene-1-Methanyl Acetate",16.9,2.8,5
2313,"2,4-Dimethyl-3-Ethyl-3-Pentanol",15.6,2.3,5.6
2314,"2,4-Dimethyl-3-Ethylpentane",14.8,0,0
2315,"2,4-Dimethyl-3-Hexanol",15.5,3,7.8
2316,"2,4-Dimethyl-3-Isopropyl-3-Pentanol",15.5,1.8,4.7
2317,"2,4-Dimethyl-3-Isopropylpentane",14.7,0,0
2318,"2,4-Dimethyl-3-Oxazoline",16.9,8.5,4.4
2319,"2,4-Dimethyl-3-Pentanol",15.4,3.7,8.7
2320,"2,4-Dimethyl-3-Pentanone",15.4,5.1,2.7
2321,"2,4-Dimethyl-3-Thiazoline",17.9,8.5,3.9
2322,"2,4-Dimethyl-4-Heptanol",15.8,2.2,5.9
2323,"2,4-Dimethyl-4-Nonanol",16,2,5.3
2324,"2,4-Dimethyl-4-Octanol",15.9,2.2,5.6
2325,"2,4-Dimethyl-5-Ethylphenol",18,3.1,7.8
2326,"2,4-Dimethyl-5-Vinyl Thiazole",17.7,4.1,5.1
2327,"2,4-Dimethylaniline",19.2,5.2,8.7
2328,"2,4-Dimethyl-Cis-3-Hexene",15.4,1.6,1.8
2329,"2,4-Dimethyldecane",15.4,0,0
2330,"2,4-Dimethylfuran",16.7,4.5,4.5
2331,"2,4-Dimethylheptane",15,0,0
2332,"2,4-Dimethylhexane",14.8,0,0
2333,"2,4-Dimethylimidazol",18.2,9.3,8.3
2334,"2,4-Dimethyloctane",15.2,0,0
2335,"2,4-Dimethylpentane",14.6,0,0
2336,"2,4-Dimethylpyridine",17.9,5.4,4.9
2337,"2,4-Dimethylpyrrole",18,6.6,7.1
2338,"2,4-Dimethylquinoline",18.9,4.2,4.6
2339,"2,4-Dimethylstyrene",17.7,2.5,2.8
2340,"2,4-Dimethylthiophene",17.9,2.7,5.3
2341,"2,4-Dimethylthiophenol",19.4,2.8,4.5
2342,"2,4-Dimethyl-Trans-3-Hexene",15.4,1.6,1.8
2343,"2,4-Dimethylundecane",15.4,0,0
2344,"2,4-Dinitroaniline",20.7,12.2,10.1
2345,"2,4-Dinitroanisole",19.8,11.2,6.5
2346,"2,4-Dinitrobenzaldehyde",20.4,13.9,7
2347,"2,4-Dinitrostilbene",20.2,6,4.5
2348,"2,4-Diphenyl-4-Methylpentene-1",17.8,0.9,1.4
