40486366,19
56046774,19
56523909,19
2339562,19
2343906,19
55888089,19
38093221,19
41181546,19
2307237,19
2309386,19
2645361,19
2376486,19
3519630,19
53523278,19
35065321,19
6893922,19
2352576,19
47165209,19
1148235,19
5723247,19
4121637,19
57078369,19
1818489,19
5890239,19
44155699,19
35882255,19
3122631,19
6408871,19
57014286,19
2341726,19
34939831,19
50243547,19
66543663,19
9448625,19
2385216,19
43462073,19
2247471,19
2894832,19
62132259,18
60218072,18
22986471,18
50677143,18
26493942,18
2599419,18
50104266,18
12894792,18
7300571,18
54709277,18
8699811,18
13573734,18
